a,meanlog_obs,sdlog_obs,meanlog_sim,sdlog_sim,loss,yr,yr_idx,a_hat
2,3.3789128114574267,0.6472560062464543,2.9774870153841917,0.7601974473465274,0.18665420798855303,2024,25,0.5
1.5,3.3789128114574267,0.6472560062464543,2.9944706002645223,0.8136290055795948,0.2031557635611001,2024,25,0.5
1,3.3789128114574267,0.6472560062464543,2.9782954954916394,0.797028151525266,0.2053576248544664,2024,25,0.5
1.25,3.3789128114574267,0.6472560062464543,2.915727598553434,0.8214705747625684,0.2752419732194288,2024,25,0.5
1.25,3.3191549537930514,0.6325712002997456,3.1853032968883093,0.6902983137531259,0.024581105311463684,2025,26,1.25
0.25,3.3191549537930514,0.6325712002997456,3.1768315869888557,0.7117911906530364,0.03280755448163262,2025,26,1.25
0.75,3.3191549537930514,0.6325712002997456,3.1270693530548357,0.7241108322603182,0.05365588644991541,2025,26,1.25
1,3.3191549537930514,0.6325712002997456,3.089811663739636,0.7177482283080899,0.06710859689319368,2025,26,1.25
0.5,3.3191549537930514,0.6325712002997456,3.0334927622654146,0.7539563438629845,0.11107159382410846,2025,26,1.25
2,3.3191549537930514,0.6325712002997456,3.0275152975482738,0.7606377871227301,0.11785579041555012,2025,26,1.25
1.5,3.3191549537930514,0.6325712002997456,3.031778910792535,0.7732545642373609,0.12216860786824182,2025,26,1.25
